id	ismarine	cvgt
Galaxias_platei	False	True
Galaxias_neocaledonicus	False	True
Galaxias_brevipinnis	False	True
Galaxias_gollumoides	False	True
Galaxias_paucispondylus	False	True
Galaxias_maculatus	False	True
Neochanna_burrowsius	False	True
Galaxias_zebratus	False	True
Aplochiton_zebra	False	True
Lovettia_sealii	False	True
Pamphorichthys_scalpridens	False	True
Pamphorichthys_minor	False	True
Pamphorichthys_hollandi	False	True
Pamphorichthys_araguaiensis	False	True
Pamphorichthys_hasemani	False	True
Limia_heterandria	False	True
Poecilia_caucana	False	True
Poecilia_latipunctata	False	True
Poecilia_vivipara	False	True
Poecilia_wingei	False	True
Poecilia_reticulata	False	True
Poecilia_parae	False	True
Cnesterodon_decemmaculatus	False	True
Cnesterodon_hypselurus	False	True
Xiphophorus_malinche	False	True
Xiphophorus_hellerii	False	True
Jenynsia_onca	False	True
Anableps_anableps	False	True
Lucania_goodei	False	True
Llanolebias_stellifer	False	True
Gnatholebias_zonatus	False	True
Austrofundulus_limnaeus	False	True
Austrofundulus_transilis	False	True
Austrofundulus_leohoignei	False	True
Terranatos_dolichopterus	False	True
Renova_oscari	False	True
Pterolebias_longipinnis	False	True
Trigonectes_rubromarginatus	False	True
Trigonectes_balzanii	False	True
Neofundulus_paraguayensis	False	True
Anablepsoides_iridescens	False	True
Anablepsoides_ophiomimus	False	True
Anablepsoides_hartii	False	True
Melanorivulus_punctatus	False	True
Melanorivulus_pictus	False	True
Melanorivulus_violaceus	False	True
Cynodonichthys_tenuis	False	True
Cynodonichthys_magdalenae	False	True
Pituna_poranga	False	True
Maratecoara_formosa	False	True
Atlantirivulus_santensis	False	True
Atlantirivulus_haraldsiolii	False	True
Laimosemion_mahdiaensis	False	True
Rivulus_cylindraceus	False	True
Rivulus_roloffi	False	True
Kryptolebias_caudomarginatus	False	True
Kryptolebias_marmoratus	False	True
Austrolebias_bellottii	False	True
Austrolebias_adloffi	False	True
Austrolebias_alexandri	False	True
Hypsolebias_magnificus	False	True
Hypsolebias_flammeus	False	True
Hypsolebias_flavicaudatus	False	True
Ophthalmolebias_bokermanni	False	True
Ophthalmolebias_constanciae	False	True
Nematolebias_whitei	False	True
Campellolebias_brucei	False	True
Epiplatys_singa	False	True
Epiplatys_lamottei	False	True
Epiplatys_bifasciatus	False	True
Scriptaphyosemion_guignardi	False	True
Scriptaphyosemion_banforense	False	True
Callopanchax_occidentalis	False	True
Aphyosemion_bivittatum	False	True
Aphyosemion_australe	False	True
Aphyosemion_ahli	False	True
Aphyosemion_ocellatum	False	True
Aphyosemion_hofmanni	False	True
Aphyosemion_louessense	False	True
Aphyosemion_ogoense	False	True
Aphyosemion_primigenium	False	True
Aphyosemion_exigoideum	False	True
Aphyosemion_elberti	False	True
Nothobranchius_orthonotus	False	True
Fundulopanchax_mirabilis	False	True
Pachypanchax_omalonotus	False	True
Pachypanchax_sakaramyi	False	True
Pachypanchax_playfairii	False	True
Aplocheilus_lineatus	False	True
Belone_belone	False	True
Oryzias_latipes	False	True
Atherina_presbyter	False	True
Atherina_hepsetus	False	True
Atherina_boyeri	False	True
Atherina_breviceps	False	True
Iso_natalensis	True	False
Bedotia_geayi	False	True
Melanotaenia_lacustris	False	True
Menidia_menidia	False	True
Limnochromis_staneri	False	True
Gnathochromis_permaxillaris	False	True
Baileychromis_centropomoides	False	True
Limnochromis_abeelei	False	True
Greenwoodochromis_bellcrossi	False	True
Cyphotilapia_frontosa	False	True
Plecodus_straeleni	False	True
Perissodus_microlepis	False	True
Plecodus_multidentatus	False	True
Haplotaxodon_trifasciatus	False	True
Haplotaxodon_microlepis	False	True
Plecodus_paradoxus	False	True
Plecodus_elaviae	False	True
Xenochromis_hecqui	False	True
Cyprichromis_pavo	False	True
Cyprichromis_zonatus	False	True
Cyprichromis_coloratus	False	True
Cyprichromis_microlepidotus	False	True
Cyprichromis_leptosoma	False	True
Paracyprichromis_brieni	False	True
Paracyprichromis_nigripinnis	False	True
Benthochromis_melanoides	False	True
Benthochromis_horii	False	True
Benthochromis_tricoti	False	True
Dimidiochromis_compressiceps	False	True
Copadichromis_borleyi	False	True
Lethrinops_parvidens	False	True
Protomelas_similis	False	True
Nimbochromis_fuscotaeniatus	False	True
Labidochromis_caeruleus	False	True
Otopharynx_brooksi	False	True
Otopharynx_heterodon	False	True
Cynotilapia_afra	False	True
Labeotropheus_trewavasae	False	True
Labeotropheus_fuelleborni	False	True
Aulonocara_baenschi	False	True
Melanochromis_auratus	False	True
Melanochromis_vermivorus	False	True
Maylandia_zebra	False	True
Aulonocara_stuartgranti	False	True
Placidochromis_milomo	False	True
Sciaenochromis_fryeri	False	True
Pallidochromis_tokolosh	False	True
Diplotaxodon_macrops	False	True
Rhamphochromis_esox	False	True
Rhamphochromis_longiceps	False	True
Astatotilapia_calliptera	False	True
Haplochromis_nyererei	False	True
Haplochromis_pyrrhocephalus	False	True
Haplochromis_fischeri	False	True
Haplochromis_riponianus	False	True
Haplochromis_degeni	False	True
Astatotilapia_burtoni	False	True
Cyathopharynx_furcifer	False	True
Ophthalmotilapia_ventralis	False	True
Ophthalmotilapia_nasuta	False	True
Callochromis_macrops	False	True
Grammatotria_lemairii	False	True
Xenotilapia_caudafasciata	False	True
Xenotilapia_nigrolabiata	False	True
Xenotilapia_boulengeri	False	True
Xenotilapia_sima	False	True
Xenotilapia_ochrogenys	False	True
Xenotilapia_flavipinnis	False	True
Julidochromis_dickfeldi	False	True
Chalinochromis_brichardi	False	True
Julidochromis_ornatus	False	True
Julidochromis_marlieri	False	True
Telmatochromis_temporalis	False	True
Neolamprologus_brichardi	False	True
Telmatochromis_dhonti	False	True
Lamprologus_callipterus	False	True
Neolamprologus_tetracanthus	False	True
Neolamprologus_buescheri	False	True
Neolamprologus_obscurus	False	True
Neolamprologus_leleupi	False	True
Lepidiolamprologus_elongatus	False	True
Lepidiolamprologus_attenuatus	False	True
Lepidiolamprologus_profundicola	False	True
Neolamprologus_variostigma	False	True
Lepidiolamprologus_mimicus	False	True
Lepidiolamprologus_kendalli	False	True
Altolamprologus_calvus	False	True
Altolamprologus_compressiceps	False	True
Neolamprologus_fasciatus	False	True
Lamprologus_lemairii	False	True
Lamprologus_ocellatus	False	True
Neolamprologus_ventralis	False	True
Variabilichromis_moorii	False	True
Neolamprologus_sexfasciatus	False	True
Julidochromis_regani	False	True
Neolamprologus_mondabu	False	True
Neolamprologus_furcifer	False	True
Neolamprologus_tretocephalus	False	True
Spathodus_erythrodon	False	True
Hemibates_stenosoma	False	True
Bathybates_fasciatus	False	True
Trematocara_macrostoma	False	True
Trematocara_unimaculatum	False	True
Boulengerochromis_microlepis	False	True
Coptodon_rendalli	False	True
Coptodon_snyderae	False	True
Coptodon_bemini	False	True
Coptodon_bakossiorum	False	True
Steatocranus_casuarius	False	True
Oreochromis_niloticus	False	True
Sarotherodon_galilaeus	False	True
Sarotherodon_caroli	False	True
Sarotherodon_linnellii	False	True
Sarotherodon_steinbachi	False	True
Sarotherodon_lohbergeri	False	True
Stomatepia_mariae	False	True
Stomatepia_pindu	False	True
Stomatepia_mongo	False	True
Myaka_myaka	False	True
Konia_eisentrauti	False	True
Konia_dikume	False	True
Pungu_maclareni	False	True
Sarotherodon_melanotheron	False	True
Crenicichla_frenata	False	True
Astronotus_ocellatus	False	True
Andinoacara_stalsbergi	False	True
Andinoacara_rivulatus	False	True
Andinoacara_biseriatus	False	True
Andinoacara_latifrons	False	True
Andinoacara_coeruleopunctatus	False	True
Andinoacara_pulcher	False	True
Tahuantinsuyoa_macantzatza	False	True
Emblemaria_diphyodontis	True	False
Emblemaria_pandionis	True	False
Emblemaria_piratica	True	False
Emblemaria_hypacanthus	True	False
Emblemaria_nivipes	True	False
Chaenopsis_alepidota	True	False
Chaenopsis_schmitti	True	False
Lucayablennius_zingaro	True	False
Chaenopsis_limbaughi	True	False
Ekemblemaria_myersi	True	False
Ekemblemaria_nigra	True	False
Hemiemblemaria_simulus	True	False
Protemblemaria_bicirrus	True	False
Cirriemblemaria_lucasana	True	False
Emblemariopsis_signifer	True	False
Emblemariopsis_randalli	True	False
Acanthemblemaria_macrospilus	True	False
Acanthemblemaria_hancocki	True	False
Acanthemblemaria_crockeri	True	False
Acanthemblemaria_rivasi	True	False
Acanthemblemaria_castroi	True	False
Acanthemblemaria_chaplini	True	False
Acanthemblemaria_greenfieldi	True	False
Acanthemblemaria_aspera	True	False
Acanthemblemaria_betinensis	True	False
Acanthemblemaria_exilispinus	True	False
Coralliozetus_angelicus	True	False
Coralliozetus_micropes	True	False
Coralliozetus_boehlkei	True	False
Coralliozetus_cardonae	True	False
Coralliozetus_springeri	True	False
Platygillellus_rubrocinctus	True	False
Gillellus_uranidea	True	False
Dactyloscopus_lacteus	True	False
Paraclinus_mexicanus	True	False
Paraclinus_sini	True	False
Paraclinus_marmoratus	True	False
Paraclinus_integripinnis	True	False
Stathmonotus_culebrai	True	False
Stathmonotus_lugubris	True	False
Stathmonotus_stahli	True	False
Starksia_nanodes	True	False
Starksia_lepicoelia	True	False
Starksia_fasciata	True	False
Starksia_atlantica	True	False
Starksia_galapagensis	True	False
Starksia_posthon	True	False
Xenomedea_rhodopyga	True	False
Starksia_spinipenis	True	False
Starksia_grammilaga	True	False
Starksia_ocellata	True	False
Malacoctenus_zacae	True	False
Malacoctenus_hubbsi	True	False
Malacoctenus_gigas	True	False
Malacoctenus_zonogaster	True	False
Malacoctenus_zonifer	True	False
Malacoctenus_ebisui	True	False
Malacoctenus_tetranemus	True	False
Malacoctenus_triangulatus	True	False
Malacoctenus_aurolineatus	True	False
Malacoctenus_boehlkei	True	False
Labrisomus_nuchipinnis	True	False
Labrisomus_xanti	True	False
Labrisomus_nigricinctus	True	False
Labrisomus_haitiensis	True	False
Dialommus_macrocephalus	True	False
Mccoskerichthys_sandae	True	False
Neoclinus_blanchardi	True	False
Auchenionchus_microcirrhis	True	False
Alloclinus_holderi	True	False
Clinus_spatulatus	True	False
Clinus_superciliosus	True	False
Clinus_musaicus	True	False
Clinus_arborescens	True	False
Clinus_venustris	True	False
Pavoclinus_profundus	True	False
Blennophis_striatus	True	False
Blennioclinus_stella	True	False
Pavoclinus_graminis	True	False
Clinus_cottoides	True	False
Clinus_acuminatus	True	False
Cancelloxus_longior	True	False
Muraenoclinus_dorsalis	True	False
Clinus_agilis	True	False
Heteroclinus_adelaidae	True	False
Cristiceps_australis	True	False
Gibbonsia_metzi	True	False
Gibbonsia_montereyensis	True	False
Gibbonsia_elegans	True	False
Heterostichus_rostratus	True	False
Calliclinus_geniguttatus	True	False
Petroscirtes_mitratus	True	False
Meiacanthus_oualanensis	True	False
Plagiotremus_azaleus	True	False
Plagiotremus_tapeinosoma	True	False
Plagiotremus_rhinorhynchos	True	False
Omobranchus_anolius	False	True
Omobranchus_obliquus	False	True
Hypleurochilus_fissicornis	True	False
Hypleurochilus_aequipinnis	True	False
Parablennius_intermedius	False	True
Parablennius_cornutus	True	False
Parablennius_tasmanianus	False	True
Parablennius_yatabei	True	False
Parablennius_tentacularis	False	True
Parablennius_rouxi	True	False
Parablennius_marmoreus	True	False
Parablennius_pilicornis	True	False
Parablennius_zvonimiri	False	True
Scartella_caboverdiana	True	False
Scartella_emarginata	True	False
Scartella_cristata	True	False
Hypsoblennius_caulopus	True	False
Hypsoblennius_gentilis	False	True
Hypsoblennius_jenkinsi	True	False
Hypsoblennius_hentz	True	False
Hypsoblennius_gilberti	True	False
Hypsoblennius_brevipinnis	True	False
Salaria_fluviatilis	False	True
Parablennius_sanguinolentus	True	False
Parablennius_parvicornis	True	False
Salaria_pavo	False	True
Parablennius_gattorugine	True	False
Microlipophrys_caboverdensis	True	False
Microlipophrys_velifer	True	False
Microlipophrys_dalmatinus	True	False
Microlipophrys_bauchotae	True	False
Microlipophrys_canevae	True	False
Lipophrys_pholis	True	False
Lipophrys_trigloides	False	True
Coryphoblennius_galerita	False	True
Blenniella_chrysospilos	True	False
Blenniella_cyanostigma	True	False
Istiblennius_dussumieri	False	True
Istiblennius_lineatus	True	False
Istiblennius_edentulus	True	False
Entomacrodus_nigricans	True	False
Entomacrodus_striatus	True	False
Entomacrodus_chiostictus	True	False
Entomacrodus_niuafoouensis	True	False
Praealticus_striatus	True	False
Praealticus_tanegasimae	True	False
Praealticus_margaritatus	True	False
Praealticus_labrovittatus	True	False
Alticus_saliens	True	False
Andamia_reyi	True	False
Andamia_tetradactylus	True	False
Praealticus_caesius	True	False
Rhabdoblennius_nitidus	True	False
Nannosalarias_nativitatis	True	False
Salarias_alboguttatus	True	False
Salarias_fasciatus	True	False
Cirripectes_castaneus	True	False
Cirripectes_filamentosus	True	False
Cirripectes_stigmaticus	True	False
Cirripectes_quagga	True	False
Ophioblennius_steindachneri	True	False
Ophioblennius_macclurei	True	False
Ecsenius_opsifrontalis	True	False
Ecsenius_pardus	True	False
Ecsenius_nalolo	True	False
Ecsenius_midas	True	False
Cremnochorites_capensis	True	False
Helcogramma_ellioti	True	False
Helcogramma_fuscopinna	True	False
Enneapterygius_abeli	True	False
Enneapterygius_gruschkai	True	False
Enneapterygius_tutuilae	True	False
Ruanoho_whero	True	False
Tripterygion_delaisi	True	False
Forsterygion_lapillum	True	False
Axoclinus_storeyae	True	False
Axoclinus_lucillae	True	False
Axoclinus_nigricaudus	True	False
Enneanectes_boehlkei	True	False
Enneanectes_altivelis	True	False
Enneanectes_carminalis	True	False
Lepidonectes_corallicola	True	False
Lepadogaster_lepadogaster	True	False
Apletodon_dentatus	False	True
Gobiesox_pinniger	True	False
Gobiesox_juradoensis	False	True
Gobiesox_rhessodon	True	False
Tomicodon_myersi	True	False
Tomicodon_humeralis	True	False
Aspasma_minima	True	False
Embiotoca_jacksoni	True	False
Chromis_limbata	True	False
Chromis_viridis	True	False
Dascyllus_trimaculatus	True	False
Dascyllus_aruanus	True	False
Amphiprion_akindynos	True	False
Amphiprion_melanopus	True	False
Neopomacentrus_bankieri	True	False
Pomacentrus_amboinensis	True	False
Pomacentrus_pavo	True	False
Chrysiptera_rex	True	False
Chrysiptera_cyanea	True	False
Abudefduf_sexfasciatus	True	False
Parma_oligolepis	True	False
Stegastes_gascoynei	True	False
Plectroglyphidodon_dickii	True	False
Liza_aurata	False	True
Chelon_labrosus	False	True
Moolgarda_cunnesius	False	True
Mugil_cephalus	False	True
Parambassis_ranga	False	True
Parambassis_wolffii	False	True
Samariscus_latus	True	False
Samaris_cristatus	True	False
Trinectes_maculatus	False	True
Microchirus_azevia	True	False
Microchirus_variegatus	True	False
Dicologlossa_cuneata	False	True
Solea_aegyptiaca	False	True
Solea_senegalensis	True	False
Solea_solea	False	True
Synapturichthys_kleinii	False	True
Pegusa_cadenati	True	False
Pegusa_lascaris	False	True
Buglossidium_luteum	False	True
Paraplagusia_japonica	True	False
Cynoglossus_senegalensis	False	True
Cynoglossus_browni	True	False
Arnoglossus_imperialis	True	False
Arnoglossus_laterna	True	False
Bothus_podas	True	False
Chascanopsetta_lugubris	True	False
Syacium_micrurum	True	False
Poecilopsetta_beanii	True	False
Poecilopsetta_plinthus	True	False
Symphurus_orientalis	True	False
Mancopsetta_maculata	True	False
Pseudorhombus_oligodon	True	False
Xystreurys_liolepis	True	False
Paralichthys_olivaceus	False	True
Paralichthys_dentatus	True	False
Limanda_limanda	True	False
Hippoglossoides_platessoides	True	False
Platichthys_flesus	False	True
Pleuronectes_platessa	False	True
Hippoglossus_hippoglossus	True	False
Hippoglossus_stenolepis	True	False
Eopsetta_jordani	True	False
Microstomus_kitt	True	False
Glyptocephalus_cynoglossus	True	False
Lepidorhombus_whiffiagonis	True	False
Lepidorhombus_boscii	True	False
Zeugopterus_punctatus	True	False
Scophthalmus_rhombus	True	False
Scophthalmus_maximus	False	True
Citharus_linguatula	True	False
Citharoides_macrolepis	True	False
Lepidoblepharon_ophthalmolepis	True	False
Brachypleura_novaezeelandiae	True	False
Lactarius_lactarius	False	True
Sphyraena_viridensis	True	False
Sphyraena_argentea	True	False
Sphyraena_barracuda	False	True
Sphyraena_guachancho	True	False
Caranx_crysos	False	True
Gnathanodon_speciosus	True	False
Chloroscombrus_chrysurus	False	True
Selene_dorsalis	False	True
Parastromateus_niger	False	True
Trachurus_mediterraneus	False	True
Trachurus_picturatus	True	False
Trachurus_murphyi	True	False
Trachurus_trachurus	False	True
Selar_crumenophthalmus	True	False
Pseudocaranx_dentex	False	True
Seriola_carpenteri	True	False
Seriola_rivoliana	True	False
Seriola_fasciata	True	False
Seriola_dumerili	True	False
Trachinotus_ovatus	False	True
Lichia_amia	False	True
Coryphaena_equiselis	True	False
Coryphaena_hippurus	True	False
Rachycentron_canadum	True	False
Istiophorus_platypterus	True	False
Makaira_nigricans	True	False
Istiompax_indica	True	False
Kajikia_albida	True	False
Kajikia_audax	True	False
Tetrapturus_georgii	True	False
Tetrapturus_pfluegeri	True	False
Tetrapturus_belone	True	False
Tetrapturus_angustirostris	True	False
Xiphias_gladius	True	False
Mene_maculata	True	False
Toxotes_jaculatrix	False	True
Toxotes_chatareus	False	True
Lates_niloticus	False	True
Lates_calcarifer	False	True
Eleutheronema_rhadinum	True	False
Pentanemus_quinquarius	False	True
Polydactylus_sextarius	False	True
Indostomus_paradoxus	False	True
Monopterus_albus	False	True
Mastacembelus_erythrotaenia	False	True
Channa_striata	False	True
Trimma_caesiura	True	False
Trimma_flammeum	True	False
Lythrypnus_zebra	True	False
Lythrypnus_dalli	True	False
Priolepis_eugenius	True	False
Priolepis_hipoliti	True	False
Priolepis_cincta	False	True
Babka_gymnotrachelus	False	True
Ponticola_cephalargoides	False	True
Mesogobius_batrachocephalus	False	True
Proterorhinus_semilunaris	False	True
Benthophilus_magistri	False	True
Gobius_niger	False	True
Caffrogobius_saldanha	False	True
Elacatinus_oceanops	True	False
Elacatinus_evelynae	True	False
Elacatinus_atronasus	True	False
Elacatinus_genie	True	False
Elacatinus_prochilos	True	False
Elacatinus_illecebrosus	True	False
Elacatinus_figaro	True	False
Elacatinus_randalli	True	False
Elacatinus_chancei	True	False
Elacatinus_lori	True	False
Elacatinus_horsti	True	False
Elacatinus_louisae	True	False
Elacatinus_xanthiprora	True	False
Microgobius_microlepis	False	True
Ophiogobius_jenynsi	False	True
Elacatinus_puncticulatus	True	False
Tigrigobius_gemmatus	True	False
Risor_ruber	True	False
Tigrigobius_saucrus	True	False
Tigrigobius_macrodon	True	False
Elacatinus_limbaughi	True	False
Tigrigobius_nesiotes	True	False
Tigrigobius_janssi	True	False
Ginsburgellus_novemlineatus	False	True
Tigrigobius_multifasciatus	True	False
Barbulifer_ceuthoecus	True	False
Aruma_histrio	True	False
Gobiosoma_chiquita	False	True
Gobiosoma_bosc	False	True
Nes_longus	True	False
Signigobius_biocellatus	True	False
Amblygobius_nocturnus	True	False
Istigobius_rigilius	True	False
Istigobius_decoratus	True	False
Exyrias_belissimus	True	False
Oplopomus_oplopomus	True	False
Arenigobius_bifrenatus	False	True
Cabillus_tongarevae	True	False
Acentrogobius_pflaumii	False	True
Afurcagobius_tamarensis	False	True
Favonigobius_exquisitus	False	True
Favonigobius_melanobranchus	True	False
Favonigobius_reichei	False	True
Cryptocentrus_inexplicatus	True	False
Cryptocentrus_cinctus	True	False
Cryptocentrus_leptocephalus	True	False
Cryptocentrus_lutheri	True	False
Cryptocentrus_albidorsus	True	False
Cryptocentrus_nigrocellatus	True	False
Mahidolia_mystacina	False	True
Valenciennea_strigata	True	False
Valenciennea_longipinnis	True	False
Valenciennea_puellaris	True	False
Amblygobius_phalaena	True	False
Pomatoschistus_minutus	False	True
Pomatoschistus_lozanoi	False	True
Pomatoschistus_pictus	True	False
Pomatoschistus_microps	False	True
Knipowitschia_milleri	False	True
Economidichthys_pygmaeus	False	True
Coryphopterus_punctipectophorus	True	False
Coryphopterus_dicrus	True	False
Coryphopterus_personatus	True	False
Coryphopterus_hyalinus	False	True
Rhinogobiops_nicholsii	True	False
Lophogobius_cyprinoides	False	True
Fusigobius_duospilus	True	False
Fusigobius_signipinnis	True	False
Fusigobius_neophytus	True	False
Ctenogobiops_formosa	True	False
Ctenogobiops_tangaroai	True	False
Ctenogobiops_mitodes	True	False
Ctenogobiops_tongaensis	True	False
Ctenogobiops_aurocingulus	True	False
Vanderhorstia_ornatissima	True	False
Tomiyamichthys_lanceolatus	True	False
Amblyeleotris_fasciata	True	False
Amblyeleotris_yanoi	True	False
Amblyeleotris_wheeleri	True	False
Amblyeleotris_steinitzi	True	False
Amblyeleotris_guttata	True	False
Amblyeleotris_periophthalma	True	False
Amblyeleotris_randalli	True	False
Amblyeleotris_gymnocephala	False	True
Callogobius_bifasciatus	True	False
Stonogobiops_xanthorhinica	True	False
Asterropteryx_ensifera	False	True
Asterropteryx_semipunctata	True	False
Bathygobius_cocosensis	True	False
Bathygobius_soporator	False	True
Bathygobius_curacao	True	False
Psammogobius_biocellatus	False	True
Kraemeria_bryani	True	False
Kraemeria_cunicularia	False	True
Eviota_afelei	True	False
Gobiodon_histrio	True	False
Gobiodon_quinquestrigatus	True	False
Paragobiodon_modestus	True	False
Bryaninops_yongei	True	False
Ptereleotris_monoptera	True	False
Ptereleotris_microlepis	True	False
Ptereleotris_zebra	True	False
Nemateleotris_magnifica	True	False
Microdesmus_bahianus	True	False
Microdesmus_longipinnis	True	False
Microdesmus_carri	False	True
Cerdale_floridana	False	True
Gunnellichthys_monostigma	True	False
Trimmatom_eviotops	True	False
Callogobius_sclateri	True	False
Akihito_futuna	False	True
Akihito_vanuatu	False	True
Sicyopus_zosterophorus	False	True
Lentipes_kaaea	False	True
Lentipes_armatus	False	True
Smilosicyopus_chloe	False	True
Smilosicyopus_sasali	False	True
Stiphodon_rutilaureus	False	True
Stiphodon_rubromaculatus	False	True
Stiphodon_hydoreibatus	False	True
Stiphodon_sapphirinus	False	True
Stiphodon_atratus	False	True
Stiphodon_elegans	False	True
Sicyopterus_lagocephalus	False	True
Sicyopterus_pugnans	False	True
